City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,Rain (inches),Snow (inches)
137,Barra Patuca,HN,15.8,-84.28,81.75,82,100,13.53,light rain,0.23,0.0
138,Liberal,US,37.04,-100.92,73.4,64,1,17.22,clear sky,0.0,0.0
139,Hermanus,ZA,-34.42,19.23,55.99,92,100,3.0,overcast clouds,0.0,0.0
140,Kalianget,ID,-7.05,113.93,82.29,77,96,13.53,overcast clouds,0.0,0.0
141,Port Lincoln,AU,-34.73,135.87,58.1,65,0,18.77,clear sky,0.0,0.0
142,Christchurch,NZ,-43.53,172.63,51.01,81,24,6.93,few clouds,0.0,0.0
143,Kruisfontein,ZA,-34.0,24.73,52.16,84,100,4.81,overcast clouds,0.0,0.0
144,Makakilo City,US,21.35,-158.09,86.0,58,40,20.8,scattered clouds,0.0,0.0
145,Iqaluit,CA,63.75,-68.51,39.2,69,75,3.36,broken clouds,0.0,0.0
146,Beloha,MG,-25.17,45.05,67.21,81,99,2.77,overcast clouds,0.0,0.0
147,Aquiraz,BR,-3.9,-38.39,80.6,78,40,6.93,scattered clouds,0.0,0.0
148,Kultuk,RU,51.72,103.7,64.2,67,100,1.9,overcast clouds,0.0,0.0
149,Dembi Dolo,ET,8.53,34.8,56.55,100,95,3.76,overcast clouds,0.0,0.0
150,Mehamn,NO,71.04,27.85,44.51,89,100,13.67,overcast clouds,0.0,0.0
151,Kavaratti,IN,10.57,72.64,83.71,76,100,17.38,moderate rain,1.25,0.0
152,Pokhara,NP,28.23,83.98,71.08,83,99,2.77,moderate rain,2.05,0.0
153,Romanovo,RU,52.62,81.23,55.4,57,37,8.25,scattered clouds,0.0,0.0
154,Pudozh,RU,61.81,36.53,45.54,79,0,1.61,clear sky,0.0,0.0
155,Ormara,PK,25.21,64.64,84.45,80,63,11.27,broken clouds,0.0,0.0
156,Dalbandin,PK,28.89,64.41,77.99,59,0,5.17,clear sky,0.0,0.0
157,Nioro,GM,13.35,-15.75,82.58,66,57,10.07,light rain,0.3,0.0
158,Mugur-Aksy,RU,50.35,90.5,34.83,88,100,8.43,snow,0.0,0.75
159,Wewak,PG,-3.55,143.63,83.61,74,85,5.82,light rain,0.33,0.0
160,Cidreira,BR,-30.18,-50.21,68.22,85,59,6.64,broken clouds,0.0,0.0
161,Neftcala,AZ,39.37,49.25,76.37,53,7,13.82,clear sky,0.0,0.0
162,Taoudenni,ML,22.68,-3.98,101.03,10,56,16.08,broken clouds,0.0,0.0
163,Janja,BA,44.67,19.25,61.0,100,90,5.82,moderate rain,0.0,0.0
164,Nanortalik,GL,60.14,-45.24,45.77,72,100,7.29,overcast clouds,0.0,0.0
165,Karratha,AU,-20.74,116.85,70.36,30,0,16.49,clear sky,0.0,0.0
166,Jaguarari,BR,-10.26,-40.2,64.53,98,26,7.56,light rain,0.14,0.0
